local-authority-discovery	local-authority	uk
NIR-T	local-authority-nir:NIR-T	NIR
NIR-U	local-authority-nir:NIR-U	NIR
NIR-V	local-authority-nir:NIR-V	NIR
NIR-W	local-authority-nir:NIR-W	NIR
NIR-X	local-authority-nir:NIR-X	NIR
NIR-Y	local-authority-nir:NIR-Y	NIR
AGY	local-authority-wls:AGY	WLS
BGE	local-authority-wls:BGE	WLS
BGW	local-authority-wls:BGW	WLS
CAY	local-authority-wls:CAY	WLS
CGN	local-authority-wls:CGN	WLS
CMN	local-authority-wls:CMN	WLS
CRF	local-authority-wls:CRF	WLS
CWY	local-authority-wls:CWY	WLS
DEN	local-authority-wls:DEN	WLS
FLN	local-authority-wls:FLN	WLS
GWN	local-authority-wls:GWN	WLS
MON	local-authority-wls:MON	WLS
MTY	local-authority-wls:MTY	WLS
NTL	local-authority-wls:NTL	WLS
NWP	local-authority-wls:NWP	WLS
PEM	local-authority-wls:PEM	WLS
POW	local-authority-wls:POW	WLS
RCT	local-authority-wls:RCT	WLS
SWA	local-authority-wls:SWA	WLS
TOF	local-authority-wls:TOF	WLS
VGL	local-authority-wls:VGL	WLS
WRX	local-authority-wls:WRX	WLS
