snac	local-authority
16	local-authority-eng:CMA
16UB	local-authority-eng:ALB
16UC	local-authority-eng:BIF
16UD	local-authority-eng:CRL
16UE	local-authority-eng:COB
16UF	local-authority-eng:EDD
16UG	local-authority-eng:SLA
17	local-authority-eng:DBY
17UB	local-authority-eng:AMV
17UC	local-authority-eng:BOD
17UD	local-authority-eng:CSF
17UF	local-authority-eng:DED
17UG	local-authority-eng:ERB
17UH	local-authority-eng:HIP
17UJ	local-authority-eng:NOE
17UK	local-authority-eng:SOD
18	local-authority-eng:DEV
18UB	local-authority-eng:EDE
18UC	local-authority-eng:EXC
18UD	local-authority-eng:MID
18UE	local-authority-eng:NDE
18UG	local-authority-eng:SHA
18UH	local-authority-eng:TBG
18UK	local-authority-eng:TOD
18UL	local-authority-eng:WDE
19	local-authority-eng:DOR
19UC	local-authority-eng:CRC
19UD	local-authority-eng:EDO
19UE	local-authority-eng:NDO
19UG	local-authority-eng:PUD
19UH	local-authority-eng:WDO
19UJ	local-authority-eng:WPO
21	local-authority-eng:ESX
21UC	local-authority-eng:EBO
21UD	local-authority-eng:HST
21UF	local-authority-eng:LED
21UG	local-authority-eng:RTR
21UH	local-authority-eng:WLD
22	local-authority-eng:ESS
22UB	local-authority-eng:BAS
22UC	local-authority-eng:BRT
22UD	local-authority-eng:BTW
22UE	local-authority-eng:CAP
22UF	local-authority-eng:CHC
22UG	local-authority-eng:CST
22UH	local-authority-eng:EPF
22UJ	local-authority-eng:HAC
22UK	local-authority-eng:MDN
22UL	local-authority-eng:RCF
22UN	local-authority-eng:TDR
22UQ	local-authority-eng:UTD
23	local-authority-eng:GLS
23UB	local-authority-eng:CHE
23UC	local-authority-eng:CWD
23UD	local-authority-eng:FOO
23UE	local-authority-eng:GLC
23UF	local-authority-eng:SRD
23UG	local-authority-eng:TEB
24	local-authority-eng:HAM
24UB	local-authority-eng:BAA
24UC	local-authority-eng:EHA
24UD	local-authority-eng:ELG
24UE	local-authority-eng:FAB
24UF	local-authority-eng:GOB
24UG	local-authority-eng:HAR
24UH	local-authority-eng:HVT
24UJ	local-authority-eng:NEF
24UL	local-authority-eng:RSM
24UN	local-authority-eng:TEV
24UP	local-authority-eng:WIC
26	local-authority-eng:HFS
26UB	local-authority-eng:BXB
26UC	local-authority-eng:DAB
26UD	local-authority-eng:EHE
26UE	local-authority-eng:HEB
26UF	local-authority-eng:NOH
26UG	local-authority-eng:SAC
26UH	local-authority-eng:STV
26UJ	local-authority-eng:TRR
26UK	local-authority-eng:WTF
26UL	local-authority-eng:WEH
29	local-authority-eng:KEN
29UB	local-authority-eng:ASB
29UC	local-authority-eng:CTB
29UD	local-authority-eng:DFD
29UE	local-authority-eng:DVR
29UG	local-authority-eng:GRB
29UH	local-authority-eng:MAB
29UK	local-authority-eng:SVK
29UL	local-authority-eng:SHD
29UM	local-authority-eng:SWB
29UN	local-authority-eng:THD
29UP	local-authority-eng:TOA
29UQ	local-authority-eng:TUW
30	local-authority-eng:LAN
30UD	local-authority-eng:BUB
30UE	local-authority-eng:CLY
30UF	local-authority-eng:FYB
30UG	local-authority-eng:HYB
30UH	local-authority-eng:LAC
30UJ	local-authority-eng:PEB
30UK	local-authority-eng:PRC
30UL	local-authority-eng:RIV
30UM	local-authority-eng:ROB
30UN	local-authority-eng:SOR
30UP	local-authority-eng:WLA
30UQ	local-authority-eng:WYC
31	local-authority-eng:LEC
31UB	local-authority-eng:BLD
31UC	local-authority-eng:CAW
31UD	local-authority-eng:HBG
31UE	local-authority-eng:HIA
31UG	local-authority-eng:MEB
31UH	local-authority-eng:NWL
31UJ	local-authority-eng:OAA
32	local-authority-eng:LIN
32UB	local-authority-eng:BOB
32UC	local-authority-eng:ELI
32UD	local-authority-eng:CIO
32UE	local-authority-eng:NOK
32UF	local-authority-eng:SHO
32UG	local-authority-eng:SOK
32UH	local-authority-eng:WLI
33	local-authority-eng:NFK
33UB	local-authority-eng:BRL
33UC	local-authority-eng:BRO
33UD	local-authority-eng:GRY
33UE	local-authority-eng:BOC
33UF	local-authority-eng:NON
33UG	local-authority-eng:NOC
33UH	local-authority-eng:SNK
34	local-authority-eng:NTH
34UB	local-authority-eng:CBY
34UC	local-authority-eng:DAD
34UD	local-authority-eng:EAN
34UE	local-authority-eng:KEB
34UF	local-authority-eng:NOB
34UG	local-authority-eng:SNH
34UH	local-authority-eng:WEB
36	local-authority-eng:NYK
36UB	local-authority-eng:CRD
36UC	local-authority-eng:HBT
36UD	local-authority-eng:HGT
36UE	local-authority-eng:RID
36UF	local-authority-eng:RYD
36UG	local-authority-eng:SCB
36UH	local-authority-eng:SBY
37	local-authority-eng:NTT
37UB	local-authority-eng:ASD
37UC	local-authority-eng:BLW
37UD	local-authority-eng:BXT
37UE	local-authority-eng:GEB
37UF	local-authority-eng:MSF
37UG	local-authority-eng:NSW
37UJ	local-authority-eng:RUC
38	local-authority-eng:OXF
38UB	local-authority-eng:CWL
38UC	local-authority-eng:OXC
38UD	local-authority-eng:SOX
38UE	local-authority-eng:VAO
38UF	local-authority-eng:WEO
40	local-authority-eng:SOM
40UB	local-authority-eng:MED
40UC	local-authority-eng:SGM
40UD	local-authority-eng:SSM
40UE	local-authority-eng:TDE
40UF	local-authority-eng:WES
41	local-authority-eng:STS
41UB	local-authority-eng:CCH
41UC	local-authority-eng:EAS
41UD	local-authority-eng:LID
41UE	local-authority-eng:NED
41UF	local-authority-eng:SST
41UG	local-authority-eng:STA
41UH	local-authority-eng:STM
41UK	local-authority-eng:TAB
42	local-authority-eng:SFK
42UB	local-authority-eng:BBG
42UC	local-authority-eng:FOH
42UD	local-authority-eng:IPB
42UE	local-authority-eng:MSK
42UF	local-authority-eng:SDM
42UG	local-authority-eng:SUC
42UH	local-authority-eng:WNY
43	local-authority-eng:SRY
43UB	local-authority-eng:ELB
43UC	local-authority-eng:EPA
43UD	local-authority-eng:GUB
43UE	local-authority-eng:MOV
43UF	local-authority-eng:REA
43UG	local-authority-eng:RYM
43UH	local-authority-eng:SPB
43UJ	local-authority-eng:SUH
43UK	local-authority-eng:TDG
43UL	local-authority-eng:WVY
43UM	local-authority-eng:WKG
44	local-authority-eng:WKS
44UB	local-authority-eng:NWK
44UC	local-authority-eng:NUA
44UD	local-authority-eng:RGB
44UE	local-authority-eng:SOA
44UF	local-authority-eng:WWK
45	local-authority-eng:WSX
45UB	local-authority-eng:ADD
45UC	local-authority-eng:ARD
45UD	local-authority-eng:CHS
45UE	local-authority-eng:CRW
45UF	local-authority-eng:HOD
45UG	local-authority-eng:MSX
45UH	local-authority-eng:WOB
47	local-authority-eng:WOR
47UB	local-authority-eng:BRM
47UC	local-authority-eng:MAH
47UD	local-authority-eng:REB
47UE	local-authority-eng:WOC
47UF	local-authority-eng:WYN
47UG	local-authority-eng:WYF
95A	local-authority-nir:NIR-A
95B	local-authority-nir:NIR-B
95C	local-authority-nir:NIR-C
95D	local-authority-nir:NIR-D
95E	local-authority-nir:NIR-E
95F	local-authority-nir:NIR-F
95G	local-authority-nir:NIR-G
95H	local-authority-nir:NIR-H
95I	local-authority-nir:NIR-I
95J	local-authority-nir:NIR-J
95K	local-authority-nir:NIR-K
95L	local-authority-nir:NIR-L
95M	local-authority-nir:NIR-M
95N	local-authority-nir:NIR-N
95O	local-authority-nir:NIR-O
95P	local-authority-nir:NIR-P
95Q	local-authority-nir:NIR-Q
95R	local-authority-nir:NIR-R
95S	local-authority-nir:NIR-S
95T	local-authority-nir:NIR-T
95U	local-authority-nir:NIR-U
95V	local-authority-nir:NIR-V
95W	local-authority-nir:NIR-W
95X	local-authority-nir:NIR-X
95Y	local-authority-nir:NIR-Y
95Z	local-authority-nir:BFS
