street-administrative-area	local-authority	local-authority-name
LINCOLNSHIRE	local-authority-eng:LIN	Lincolnshire
LIVERPOOL	local-authority-eng:LIV	Liverpool
LONDON BOROUGH OF BROMLEY	local-authority-eng:BRY	Bromley
LONDON BOROUGH OF HARINGEY	local-authority-eng:HRY	Haringey
LUTON	local-authority-eng:LUT	Luton
MANCHESTER	local-authority-eng:MAN	Manchester
MEDWAY	local-authority-eng:MDW	Medway
MERTHYR TYDFIL UA	local-authority-wls:MTY	Merthyr Tydfil
MERTON	local-authority-eng:MRT	Merton
MIDDLESBROUGH	local-authority-eng:MDB	Middlesbrough
MIDLOTHIAN	local-authority-sct:MLN	Midlothian
MILTON KEYNES	local-authority-eng:MIK	Milton Keynes
MORAY	local-authority-sct:MRY	Moray
NA H-EILEANAN AN IAR	local-authority-sct:ELS	Eilean Siar
NEATH PORT TALBOT	local-authority-wls:NTL	Neath Port Talbot
CASTELL NEDD PORT TALBOT	local-authority-wls:NTL	Neath Port Talbot
NEWCASTLE UPON TYNE	local-authority-eng:NET	Newcastle upon Tyne
NEWHAM	local-authority-eng:NWM	Newham
NEWPORT	local-authority-wls:NWP	Newport
NORFOLK	local-authority-eng:NFK	Norfolk
NORTH AYRSHIRE	local-authority-sct:NAY	North Ayrshire
ISLE OF ARRAN	local-authority-sct:NAY	North Ayrshire
ISLE OF CUMBRAE	local-authority-sct:NAY	North Ayrshire
NORTH EAST LINCOLNSHIRE	local-authority-eng:NEL	North East Lincolnshire
NORTH LANARKSHIRE	local-authority-sct:NLK	North Lanarkshire
NORTH LINCOLNSHIRE	local-authority-eng:NLN	North Lincolnshire
NORTH SOMERSET	local-authority-eng:NSM	North Somerset
NORTH TYNESIDE	local-authority-eng:NTY	North Tyneside
NORTH YORKSHIRE	local-authority-eng:NYK	North Yorkshire
NORTHAMPTONSHIRE	local-authority-eng:NTH	Northamptonshire
NORTHUMBERLAND	local-authority-eng:NBL	Northumberland
NOTTINGHAM CITY	local-authority-eng:NGM	Nottingham
NOTTINGHAMSHIRE	local-authority-eng:NTT	Nottinghamshire
"NOTTINGHAMSHIRE"""	local-authority-eng:NTT	Nottinghamshire
OLDHAM	local-authority-eng:OLD	Oldham
ORKNEY ISLANDS	local-authority-sct:ORK	Orkney Islands
ORKNEY	local-authority-sct:ORK	Orkney Islands
OXFORDSHIRE	local-authority-eng:OXF	Oxfordshire
PEMBROKESHIRE	local-authority-wls:PEM	Pembrokeshire
PEN-Y-BONT AR OGWR	local-authority-wls:BGE	Bridgend
BRIDGEND COUNTY BOROUGH	local-authority-wls:BGE	Bridgend
PERTH AND KINROSS	local-authority-sct:PKN	Perth and Kinross
PETERBOROUGH	local-authority-eng:PTE	Peterborough
PLYMOUTH	local-authority-eng:PLY	Plymouth
POOLE	local-authority-eng:POL	Poole
PORTSMOUTH CITY COUNCIL	local-authority-eng:POR	Portsmouth
POWYS	local-authority-wls:POW	Powys
READING	local-authority-eng:RDG	Reading
REDBRIDGE	local-authority-eng:RDB	Redbridge
REDCAR AND CLEVELAND	local-authority-eng:RCC	Redcar and Cleveland
RENFREWSHIRE	local-authority-sct:RFW	Renfrewshire
RHONDDA CYNON TAFF	local-authority-wls:RCT	Rhondda Cynon Taff
RICHMOND UPON THAMES	local-authority-eng:RIC	Richmond upon Thames
ROCHDALE	local-authority-eng:RCH	Rochdale
ROTHERHAM	local-authority-eng:ROT	Rotherham
