Local Authority	FR	DFL	TP	DLG	OS(W)	OS(NPW)	OS(P)	OS(NPP)	SIMS	OC1	OC2	Total
WOKINGHAM	3	28	27	1262	417	7	131	0	63	2049	507	4494
WOLVERHAMPTON	47	45	52	1313	457	3	50	0	124	2236	420	4747
WORCESTER	19	32	17	746	261	2	67	0	52	972	256	2424
WREKIN	27	34	88	1274	413	10	155	0	70	1959	510	4540
WORTHING	9	66	7	1046	311	6	44	0	23	1348	353	3213
WREXHAM	37	15	54	721	221	5	43	0	53	1114	254	2517
WYCHAVON	42	27	65	864	304	0	82	0	75	1524	373	3356
WYCOMBE	38	43	23	1146	424	7	96	0	94	2153	613	4637
WYRE	34	10	14	661	209	1	52	0	67	1193	266	2507
WYRE FOREST	34	17	33	588	206	4	39	0	37	883	220	2061
YORK	49	54	41	1348	488	8	88	0	87	1704	472	4339
