Local_Authority_Name	OpenDataCommunitiesURI	ONS_Code	DCLGbillingAuthorityCode	LA_Type_Label	Authority_Type
West Berkshire	http://opendatacommunities.org/id/unitary-authority/west-berkshire	E06000037	E0302	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
West Devon	http://opendatacommunities.org/id/district-council/west-devon	E07000047	E1140	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
West Dorset	http://opendatacommunities.org/id/district-council/west-dorset	E07000052	E1237	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
West Lancashire	http://opendatacommunities.org/id/district-council/west-lancashire	E07000127	E2343	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
West Lindsey	http://opendatacommunities.org/id/district-council/west-lindsey	E07000142	E2537	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
West London Waste Authority	http://opendatacommunities.org/id/waste-authority/west-london			Waste Authority	http://opendatacommunities.org/def/local-government/WasteAuthority
West Mercia Police Authority	http://opendatacommunities.org/id/police-authority/west-mercia			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
West Midlands Fire & CD Authority	http://opendatacommunities.org/id/fire-authority/west-midlands			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
West Midlands Integrated Transport Authority	http://opendatacommunities.org/id/transport-authority/west-midlands			Transport Authority	http://opendatacommunities.org/def/local-government/TransportAuthority
West Midlands Police Authority	http://opendatacommunities.org/id/police-authority/west-midlands			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
West Oxfordshire	http://opendatacommunities.org/id/district-council/west-oxfordshire	E07000181	E3135	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
West Somerset	http://opendatacommunities.org/id/district-council/west-somerset	E07000191	E3335	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
West Sussex	http://opendatacommunities.org/id/county-council/west-sussex	E10000032	E3820	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
West Yorkshire Fire & CD Authority	http://opendatacommunities.org/id/fire-authority/west-yorkshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
West Yorkshire Integrated Transport Authority	http://opendatacommunities.org/id/transport-authority/west-yorkshire			Transport Authority	http://opendatacommunities.org/def/local-government/TransportAuthority
West Yorkshire Police Authority	http://opendatacommunities.org/id/police-authority/west-yorkshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Western Riverside Waste Authority	http://opendatacommunities.org/id/waste-authority/western-riverside			Waste Authority	http://opendatacommunities.org/def/local-government/WasteAuthority
Westminster	http://opendatacommunities.org/id/london-borough-council/westminster	E09000033	E5022	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Weymouth and Portland	http://opendatacommunities.org/id/district-council/weymouth-and-portland	E07000053	E1238	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wigan	http://opendatacommunities.org/id/metropolitan-district-council/wigan	E08000010	E4210	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Wiltshire	http://opendatacommunities.org/id/unitary-authority/wiltshire	E06000054	E3902	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Wiltshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/wiltshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Wiltshire Police Authority	http://opendatacommunities.org/id/police-authority/wiltshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Winchester	http://opendatacommunities.org/id/district-council/winchester	E07000094	E1743	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Windsor and Maidenhead	http://opendatacommunities.org/id/unitary-authority/windsor-and-maidenhead	E06000040	E0305	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Wirral	http://opendatacommunities.org/id/metropolitan-district-council/wirral	E08000015	E4305	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Woking	http://opendatacommunities.org/id/district-council/woking	E07000217	E3641	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wokingham	http://opendatacommunities.org/id/unitary-authority/wokingham	E06000041	E0306	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Wolverhampton	http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton	E08000031	E4607	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Worcester	http://opendatacommunities.org/id/district-council/worcester	E07000237	E1837	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Worcestershire	http://opendatacommunities.org/id/county-council/worcestershire	E10000034	E1821	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Worthing	http://opendatacommunities.org/id/district-council/worthing	E07000229	E3837	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wychavon	http://opendatacommunities.org/id/district-council/wychavon	E07000238	E1838	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wycombe	http://opendatacommunities.org/id/district-council/wycombe	E07000007	E0435	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wyre	http://opendatacommunities.org/id/district-council/wyre	E07000128	E2344	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wyre Forest	http://opendatacommunities.org/id/district-council/wyre-forest	E07000239	E1839	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
York	http://opendatacommunities.org/id/unitary-authority/york	E06000014	E2701	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Yorkshire Dales National Park Authority	http://opendatacommunities.org/id/national-park-authority/yorkshire-dales			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
