Local_Authority_Name	OpenDataCommunitiesURI	ONS_Code	DCLGbillingAuthorityCode	LA_Type_Label	Authority_Type
Northamptonshire	http://opendatacommunities.org/id/county-council/northamptonshire	E10000021	E2820	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Northamptonshire Police Authority	http://opendatacommunities.org/id/police-authority/northamptonshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Northumberland	http://opendatacommunities.org/id/unitary-authority/northumberland	E06000057	E2901	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Northumberland National Park Authority	http://opendatacommunities.org/id/national-park-authority/northumberland			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
Northumbria Police Authority	http://opendatacommunities.org/id/police-authority/northumbria			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Norwich	http://opendatacommunities.org/id/district-council/norwich	E07000148	E2636	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Nottingham	http://opendatacommunities.org/id/unitary-authority/nottingham	E06000018	E3001	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Nottinghamshire	http://opendatacommunities.org/id/county-council/nottinghamshire	E10000024	E3021	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Nottinghamshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/nottinghamshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Nottinghamshire Police Authority	http://opendatacommunities.org/id/police-authority/nottinghamshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Nuneaton and Bedworth	http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth	E07000219	E3732	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Oadby and Wigston	http://opendatacommunities.org/id/district-council/oadby-and-wigston	E07000135	E2438	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Oldham	http://opendatacommunities.org/id/metropolitan-district-council/oldham	E08000004	E4204	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Oxford	http://opendatacommunities.org/id/district-council/oxford	E07000178	E3132	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Oxfordshire	http://opendatacommunities.org/id/county-council/oxfordshire	E10000025	E3120	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Peak District National Park Authority	http://opendatacommunities.org/id/national-park-authority/peak-district			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
Pendle	http://opendatacommunities.org/id/district-council/pendle	E07000122	E2338	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Peterborough	http://opendatacommunities.org/id/unitary-authority/peterborough	E06000031	E0501	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Plymouth	http://opendatacommunities.org/id/unitary-authority/plymouth	E06000026	E1101	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Poole	http://opendatacommunities.org/id/unitary-authority/poole	E06000029	E1201	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Portsmouth	http://opendatacommunities.org/id/unitary-authority/portsmouth	E06000044	E1701	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Preston	http://opendatacommunities.org/id/district-council/preston	E07000123	E2339	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Purbeck	http://opendatacommunities.org/id/district-council/purbeck	E07000051	E1236	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Reading	http://opendatacommunities.org/id/unitary-authority/reading	E06000038	E0303	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Redbridge	http://opendatacommunities.org/id/london-borough-council/redbridge	E09000026	E5046	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Redcar and Cleveland	http://opendatacommunities.org/id/unitary-authority/redcar-and-cleveland	E06000003	E0703	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Redditch	http://opendatacommunities.org/id/district-council/redditch	E07000236	E1835	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Reigate and Banstead	http://opendatacommunities.org/id/district-council/reigate-banstead	E07000211	E3635	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Ribble Valley	http://opendatacommunities.org/id/district-council/ribble-valley	E07000124	E2340	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Richmond upon Thames	http://opendatacommunities.org/id/london-borough-council/richmond	E09000027	E5047	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
