local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
OXF	ENG	CTY	OXF	Oxfordshire		Oxfordshire County Council	http://www.oxfordshire.gov.uk			38
OXF-UE	ENG		OXF			Vale of White Horse District Council	http://www.whitehorsedc.gov.uk			38UE
OXF-UD	ENG		OXF			South Oxfordshire District Council	http://www.southoxon.gov.uk			38UD
OXF-UB	ENG		OXF			Cherwell District Council	http://www.cherwell-dc.gov.uk			38UB
OXF-UF	ENG		OXF			West Oxfordshire District Council	http://www.westoxon.gov.uk			38UF
OXF-UC	ENG		OXF			Oxford City Council	https://www.oxford.gov.uk			38UC
SFK-UH	ENG		SFK			Waveney District Council	http://www.waveney.gov.uk			42UH
SFK-UF	ENG		SFK			St Edmundsbury Borough Council	http://www.westsuffolk.gov.uk			42UF
SFK-UE	ENG		SFK			Mid Suffolk District Council	http://www.midsuffolk.gov.uk			42UE
SFK-UD	ENG		SFK			Ipswich Borough Council	https://www.ipswich.gov.uk			42UD
SFK-UC	ENG		SFK			Forest Heath District Council	http://www.forest-heath.gov.uk			42UC
SFK-UG	ENG		SFK			Suffolk Coastal District Council	http://www.suffolkcoastal.gov.uk			42UG
SFK-UB	ENG		SFK			Babergh District Council	http://www.babergh.gov.uk			42UB
SFK	ENG	CTY	SFK	Suffolk		Suffolk County Council	http://www.suffolk.gov.uk			42
SOM-UE	ENG		SOM			Taunton Deane Borough Council	http://www.tauntondeane.gov.uk			40UE
SOM-UF	ENG		SOM			West Somerset Council	http://www.westsomersetonline.gov.uk			40UF
SOM-UD	ENG		SOM			South Somerset District Council	www.southsomerset.gov.uk			40UD
SOM-UB	ENG		SOM			Mendip District Council	http://www.mendip.gov.uk			40UB
SOM-UC	ENG		SOM			Sedgemoor District Council	http://www.sedgemoor.gov.uk			40UC
SOM	ENG	CTY	SOM	Somerset		Somerset County Council	http://www.somerset.gov.uk			40
SRY-UH	ENG		SRY			Spelthorne Borough Council	http://www.spelthorne.gov.uk			43UH
SRY	ENG	CTY	SRY	Surrey		Surrey County Council	http://www.surreycc.gov.uk			43
SRY-UF	ENG		SRY			Reigate and Banstead Borough Council	http://www.reigate-banstead.gov.uk			43UF
SRY-UE	ENG		SRY			Mole Valley District Council	http://www.molevalley.gov.uk			43UE
SRY-UC	ENG		SRY			Epsom and Ewell Borough Council	http://www.epsom-ewell.gov.uk			43UC
SRY-UB	ENG		SRY			Elmbridge Borough Council	http://www.elmbridge.gov.uk			43UB
SRY-UM	ENG		SRY			Woking Borough Council	http://www.woking.gov.uk			43UM
SRY-UJ	ENG		SRY			Surrey Heath Borough Council	http://www.surreyheath.gov.uk			43UJ
SRY-UK	ENG		SRY			Tandridge District Council	http://www.tandridge.gov.uk			43UK
SRY-UL	ENG		SRY			Waverley Borough Council	http://www.waverley.gov.uk			43UL
SRY-UD	ENG		SRY			Guildford Borough Council	http://www.guildford.gov.uk			43UD
SRY-UG	ENG		SRY			Runnymede Borough Council	http://www.runnymede.gov.uk			43UG
STS	ENG	CTY	STS	Staffordshire		Staffordshire County Council	http://www.staffordshire.gov.uk			41
STS-UC	ENG		STS			East Staffordshire Borough Council	http://www.eaststaffsbc.gov.uk			41UC
STS-UE	ENG		STS			Newcastle-under-Lyme District Council	http://www.newcastle-staffs.gov.uk			41UE
STS-UG	ENG		STS			Stafford Borough Council	http://www.staffordbc.gov.uk			41UG
STS-UB	ENG		STS			Cannock Chase District Council	http://www.cannockchasedc.gov.uk			41UB
STS-UD	ENG		STS			Lichfield District Council	https://www.lichfielddc.gov.uk			41UD
STS-UF	ENG		STS			South Staffordshire Council	http://www.sstaffs.gov.uk			41UF
STS-UH	ENG		STS			Staffordshire Moorlands District Council	http://www.staffsmoorlands.gov.uk			41UH
STS-UK	ENG		STS			Tamworth Borough Council	http://www.tamworth.gov.uk			41UK
WAR-UC	ENG		WAR			Nuneaton and Bedworth Borough Council	http://www.nuneatonandbedworth.gov.uk			44UC
WAR-UE	ENG		WAR			Stratford-on-Avon District Council	http://www.stratford.gov.uk			44UE
WAR	ENG	CTY	WAR	Warwickshire		Warwickshire County Council	http://www.warwickshire.gov.uk			44
WAR-UD	ENG		WAR			Rugby Borough Council	http://www.rugby.gov.uk			44UD
WAR-UF	ENG		WAR			Warwick District Council	http://www.warwickdc.gov.uk			44UF
WAR-UB	ENG		WAR			North Warwickshire Borough Council	http://www.northwarks.gov.uk			44UB
WOR-UC	ENG		WOR			Malvern Hills District Council	http://www.malvernhills.gov.uk			47UC
WOR-UE	ENG		WOR			Worcester City Council	http://www.worcester.gov.uk			47UE
WOR-UD	ENG		WOR			Redditch Borough Council	http://www.redditchbc.gov.uk			47UD
WOR-UF	ENG		WOR			Wychavon District Council	http://www.wychavon.gov.uk			47UF
WOR-UG	ENG		WOR			Wyre Forest District Council	http://www.wyreforestdc.gov.uk/cms/default.aspx			47UG
WOR-UB	ENG		WOR			Bromsgrove District Council	http://www.bromsgrove.gov.uk			47UB
WOR	ENG	CTY	WOR	Worcestershire		Worcestershire County Council	http://www.worcestershire.gov.uk			47
WSX-UF	ENG		WSX			Horsham District Council	https://www.horsham.gov.uk			45UF
WSX	ENG	CTY	WSX	West Sussex		West Sussex County Council	http://www.westsussex.gov.uk			45
WSX-UH	ENG		WSX			Worthing Borough Council	http://www.adur-worthing.gov.uk			45UH
WSX-UD	ENG		WSX			Chichester District Council	http://www.chichester.gov.uk			45UD
WSX-UB	ENG		WSX			Adur District Council	http://www.adur-worthing.gov.uk			45UB
WSX-UC	ENG		WSX			Arun District Council	http://www.arun.gov.uk			45UC
WSX-UE	ENG		WSX			Crawley Borough Council	http://www.crawley.gov.uk			45UE
WSX-UG	ENG		WSX			Mid Sussex District Council	http://www.midsussex.gov.uk			45UG
NIR-E	NIR					Moyle District Council	http://www.moyle-council.org			95E
NIR-K	NIR					Omagh District Council	http://www.omagh.gov.uk			95K
NIR-N	NIR					Craigavon Borough Council	http://www.craigavon.gov.uk			95N
NIR-R	NIR					Down District Council	http://www.downdc.gov.uk			95R
NIR-V	NIR					Carrickfergus Borough Council	http://www.carrickfergus.org			95V
NIR-I	NIR					Cookstown District Council	http://www.cookstown.gov.uk			95I
NIR-S	NIR					Lisburn City Council	http://www.lisburncity.gov.uk			95S
NIR-Y	NIR					Castlereagh Borough Council	http://www.castlereagh.gov.uk			95Y
NIR-T	NIR					Antrim Borough Council	http://www.antrim.gov.uk			95T
NIR-M	NIR					Dungannon and South Tyrone Borough Council	http://www.dungannon.gov.uk			95M
NIR-O	NIR	DIS		Armagh, Banbridge and Craigavon		Armagh City and District Council	http://www.armagh.gov.uk			95O
NIR-P	NIR					Newry and Mourne District Council	http://www.newryandmournedc.gov.uk			95P
NIR-H	NIR					Magherafelt District Council	http://www.magherafelt.gov.uk			95H
NIR-L	NIR					Fermanagh District Council	http://www.fermanagh.gov.uk			95L
NIR-W	NIR					North Down Borough Council	http://www.northdown.gov.uk			95W
NIR-X	NIR					Ards Borough Council	http://www.ards-council.gov.uk			95X
AND	NIR	DIS		Ards and North Down						
NMD	NIR	DIS		Newry, Mourne and Down						
NIR-Q	NIR					Banbridge District Council	http://www.banbridge.com			95Q
CCG	NIR	DIS		Causeway Coast and Glens						
LBC	NIR	DIS		Lisburn and Castlereagh						
MEA	NIR	DIS		Mid and East Antrim						
NIR-Z	NIR	DIS		Belfast		Belfast City Council	http://www.belfastcity.gov.uk			95Z
NIR-D	NIR					Ballymoney Borough Council	http://www.ballymoney.gov.uk			95D
NIR-U	NIR					Newtownabbey Borough Council	http://www.newtownabbey.gov.uk			95U
MUL	NIR	DIS		Mid Ulster						
DRS	NIR	DIS		Derry and Strabane						
NIR-F	NIR					Larne Borough Council	http://www.larne.gov.uk			95F
ANN	NIR	DIS		Antrim and Newtownabbey						
NIR-A	NIR					Derry City Council	http://www.derrycity.gov.uk			95A
NIR-G	NIR					Ballymena Borough Council	http://www.ballymena.gov.uk			95G
FMO	NIR	DIS		Fermanagh and Omagh						
NIR-C	NIR					Coleraine Borough Council	http://www.colerainebc.gov.uk			95C
NIR-J	NIR					Strabane District Council	http://www.strabanedc.org.uk			95J
NIR-B	NIR					Limavady Borough Council	http://www.limavady.gov.uk			95B
HLD	SCT	COA		Highland		The Highland Council	http://www.highland.gov.uk			00QT
SCB	SCT	COA		The Scottish Borders		Scottish Borders Council	http://www.scotborders.gov.uk			00QE
FIF	SCT	COA		Fife		Fife Council	http://www.fifedirect.org.uk			00QR
WDU	SCT	COA		West Dunbartonshire		West Dunbartonshire Council	http://www.west-dunbarton.gov.uk			00QG
ABD	SCT	COA		Aberdeenshire		Aberdeenshire Council	http://www.aberdeenshire.gov.uk			00QB
EDH	SCT	COA		City of Edinburgh		City of Edinburgh Council	http://www.edinburgh.gov.uk			00QP
ELN	SCT	COA		East Lothian		East Lothian Council	http://www.eastlothian.gov.uk			00QM
ORK	SCT	COA		Orkney Islands		Orkney Islands Council	http://www.orkney.gov.uk			00RA
NAY	SCT	COA		North Ayrshire		North Ayrshire Council	http://www.north-ayrshire.gov.uk			00QY
RFW	SCT	COA		Renfrewshire		Renfrewshire Council	http://www.renfrewshire.gov.uk			00RC
ERW	SCT	COA		East Renfrewshire		East Renfrewshire Council	http://www.eastrenfrewshire.gov.uk			00QN
CLK	SCT	COA		Clackmannanshire		Clackmannanshire Council	http://www.clacksweb.org.uk			00QF
DND	SCT	COA		Dundee City		Dundee City Council	http://www.dundeecity.gov.uk			00QJ
ANS	SCT	COA		Angus		Angus Council	http://www.angus.gov.uk			00QC
AGB	SCT	COA		Argyll and Bute		Argyll and Bute Council	http://www.argyll-bute.gov.uk			00QD
PKN	SCT	COA		Perth and Kinross		Perth and Kinross Council	http://www.pkc.gov.uk			00RB
ABE	SCT	COA		Aberdeen City		Aberdeen City Council	http://www.aberdeencity.gov.uk			00QA
ELS	SCT	COA		Eilean Siar		Comhairle nan Eilean Siar	http://www.cne-siar.gov.uk			00RJ
SAY	SCT	COA		South Ayrshire		South Ayrshire Council	http://www.south-ayrshire.gov.uk			00RE
MLN	SCT	COA		Midlothian		Midlothian Council	http://www.midlothian.gov.uk			00QW
WLN	SCT	COA		West Lothian		West Lothian Council	http://www.westlothian.gov.uk			00RH
MRY	SCT	COA		Moray		Moray Council	http://www.moray.gov.uk			00QX
EAY	SCT	COA		East Ayrshire		East Ayrshire Council	http://www.east-ayrshire.gov.uk			00QK
EDU	SCT	COA		East Dunbartonshire		East Dunbartonshire Council	http://www.eastdunbarton.gov.uk			00QL
DGY	SCT	COA		Dumfries and Galloway		Dumfries and Galloway Council	http://www.dumgal.gov.uk			00QH
STG	SCT	COA		Stirling		Stirling Council	http://www.stirling.gov.uk			00RG
GLG	SCT	COA		Glasgow City		Glasgow City Council	http://www.glasgow.gov.uk			00QS
SLK	SCT	COA		South Lanarkshire		South Lanarkshire Council	http://www.southlanarkshire.gov.uk			00RF
IVC	SCT	COA		Inverclyde		Inverclyde Council	http://www.inverclyde.gov.uk			00QU
FAL	SCT	COA		Falkirk		Falkirk Council	http://www.falkirk.gov.uk			00QQ
NLK	SCT	COA		North Lanarkshire		North Lanarkshire Council	http://www.northlanarkshire.gov.uk			00QZ
ZET	SCT	COA		Shetland Islands		Shetland Islands Council	http://www.shetland.gov.uk			00RD
BGE	WLS	UTA		Bridgend	Pen-y-bont ar Ogwr	Bridgend County Borough Council	http://www.bridgend.gov.uk			00PB
GWN	WLS	UTA		Gwynedd		Gwynedd Council	http://www.gwynedd.gov.uk			00NC
CGN	WLS	UTA		Ceredigion	Sir Ceredigion	Ceredigion County Council	http://www.ceredigion.gov.uk			00NQ
TOF	WLS	UTA		Torfaen	Tor-faen	Torfaen County Borough Council	http://www.torfaen.gov.uk			00PM
RCT	WLS	UTA		Rhondda Cynon Taff		Rhondda Cynon Taf County Borough Council	http://www.rctcbc.gov.uk			00PF
VGL	WLS	UTA		The Vale of Glamorgan	Bro Morgannwg	Vale of Glamorgan Council	http://www.valeofglamorgan.gov.uk			00PD
NTL	WLS	UTA		Neath Port Talbot	Castell-nedd Port Talbot	Neath Port Talbot County Borough Council	http://www.neath-porttalbot.gov.uk			00NZ
AGY	WLS	UTA		Isle of Anglesey	Sir Ynys Môn	Isle of Anglesey County Council	http://www.anglesey.gov.uk			00NA
SWA	WLS	UTA		Swansea	Abertawe	City and County of Swansea Council	http://www.swansea.gov.uk			00NX
MTY	WLS	UTA		Merthyr Tydfil	Merthyr Tudful	Merthyr Tydfil County Borough Council	http://www.merthyr.gov.uk			00PH
BGW	WLS	UTA		Blaenau Gwent		Blaenau Gwent County Borough Council	http://www.blaenau-gwent.gov.uk			00PL
WRX	WLS	UTA		Wrexham	Wrecsam	Wrexham County Borough Council	http://www.wrexham.gov.uk			00NL
FLN	WLS	UTA		Flintshire	Sir y Fflint	Flintshire County Council	http://www.flintshire.gov.uk			00NJ
MON	WLS	UTA		Monmouthshire	Sir Fynwy	Monmouthshire County Council	http://www.monmouthshire.gov.uk			00PP
DEN	WLS	UTA		Denbighshire	Sir Ddinbych	Denbighshire County Council	http://www.denbighshire.gov.uk			00NG
CRF	WLS	UTA		Cardiff	Caerdydd	City of Cardiff Council	http://www.cardiff.gov.uk			00PT
NWP	WLS	UTA		Newport	Casnewydd	Newport City Council	http://www.newport.gov.uk			00PR
CWY	WLS	UTA		Conwy		Conwy County Borough Council	http://www.conwy.gov.uk			00NE
CMN	WLS	UTA		Carmarthenshire	Sir Gaerfyrddin	Carmarthenshire County Council	http://www.carmarthenshire.gov.uk			00NU
CAY	WLS	UTA		Caerphilly	Caerffili	Caerphilly County Borough Council	http://www.caerphilly.gov.uk			00PK
PEM	WLS	UTA		Pembrokeshire	Sir Benfro	Pembrokeshire County Council	http://www.pembrokeshire.gov.uk			00NS
POW	WLS	UTA		Powys		Powys County Council	http://www.powys.gov.uk			00NN
