snac	local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date
	ANN	NIR	DIS		Antrim and Newtownabbey		Antrim and Newtownabbey Borough Council	http://www.antrimandnewtownabbey.gov.uk	2015-04-01				
	AND	NIR	DIS		Ards and North Down		Ards and North Down Borough Council	http://www.ardsandnorthdown.gov.uk	2015-04-01	
	ABC	NIR	DIS		Armagh, Banbridge and Craigavon		Armagh, Banbridge and Craigavon District Council	http://www.armaghbanbridgecraigavon.org	2015-04-01			
95Z	BFS	NIR	DIS		Belfast							
	CCG	NIR	DIS		Causeway Coast and Glens		Causeway Coast and Glens District Council	http://www.causewaycoastandglens.gov.uk	2015-04-01	
	DRS	NIR	DIS		Derry and Strabane		Derry and Strabane District Council	http://www.derrycityandstrabanedistrict.com	2015-04-01			
	FMO	NIR	DIS		Fermanagh and Omagh		Fermanagh and Omagh District Council	http://www.fermanaghomagh.com	2015-04-01	
	LBC	NIR	DIS		Lisburn and Castlereagh							
	MEA	NIR	DIS		Mid and East Antrim		Mid and East Antrim Borough Council	http://www.midandeastantrim.gov.uk	2015-04-01	
	MUL	NIR	DIS		Mid Ulster		Mid-Ulster District Council	http://www.midulstercouncil.org		
	NMD	NIR	DIS		Newry, Mourne and Down		Newry, Mourne and Down District Council	http://www.newrymournedown.org	2015-04-01			
	ABE	SCT	CA		Aberdeen City							
	ABD	SCT	CA		Aberdeenshire							
	ANS	SCT	CA		Angus							
	AGB	SCT	CA		Argyll and Bute							
	CLK	SCT	CA		Clackmannanshire							
	DGY	SCT	CA		Dumfries and Galloway							
	DND	SCT	CA		Dundee City							
	EAY	SCT	CA		East Ayrshire							
	EDU	SCT	CA		East Dunbartonshire							
	ELN	SCT	CA		East Lothian							
	ERW	SCT	CA		East Renfrewshire							
	EDH	SCT	CA		City of Edinburgh							
00RJ	ELS	SCT	CA		Eilean Siar							
	FAL	SCT	CA		Falkirk							
	FIF	SCT	CA		Fife							
	GLG	SCT	CA		Glasgow City							
00QT	HLD	SCT	CA		Highland							
	IVC	SCT	CA		Inverclyde							
	MLN	SCT	CA		Midlothian							
	MRY	SCT	CA		Moray							
	NAY	SCT	CA		North Ayrshire							
	NLK	SCT	CA		North Lanarkshire							
	ORK	SCT	CA		Orkney Islands							
	PKN	SCT	CA		Perth and Kinross							
	RFW	SCT	CA		Renfrewshire							
00QE	SCB	SCT	CA		The Scottish Borders							
	ZET	SCT	CA		Shetland Islands							
	SAY	SCT	CA		South Ayrshire							
	SLK	SCT	CA		South Lanarkshire							
	STG	SCT	CA		Stirling							
	WDU	SCT	CA		West Dunbartonshire							
	WLN	SCT	CA		West Lothian							
	BGW	WLS	UA		Blaenau Gwent							
	BGE	WLS	UA		Bridgend	Pen-y-bont ar Ogwr						
	CAY	WLS	UA		Caerphilly	Caerffili						
00PT	CRF	WLS	UA		Cardiff	Caerdydd						
	CMN	WLS	UA		Carmarthenshire	Sir Gaerfyrddin						
	CGN	WLS	UA		Ceredigion	Sir Ceredigion						
	CWY	WLS	UA		Conwy							
	DEN	WLS	UA		Denbighshire	Sir Ddinbych						
	FLN	WLS	UA		Flintshire	Sir y Fflint						
	GWN	WLS	UA		Gwynedd							
	AGY	WLS	UA		Isle of Anglesey	Sir Ynys Môn						
	MTY	WLS	UA		Merthyr Tydfil	Merthyr Tudful						
	MON	WLS	UA		Monmouthshire	Sir Fynwy						
	NTL	WLS	UA		Neath Port Talbot	Castell-nedd Port Talbot						
	NWP	WLS	UA		Newport	Casnewydd						
	PEM	WLS	UA		Pembrokeshire	Sir Benfro						
	POW	WLS	UA		Powys							
00PF	RCT	WLS	UA		Rhondda Cynon Taff							
00NX	SWA	WLS	UA		Swansea	Abertawe						
	TOF	WLS	UA		Torfaen	Tor-faen						
00PD	VGL	WLS	UA		The Vale of Glamorgan	Bro Morgannwg						
	WRX	WLS	UA		Wrexham	Wrecsam						
