snac	local-authority-type	official-name	website	start-date	end-date
37UE		Gedling Borough Council	http://www.gedling.gov.uk		
23UE		Gloucester City Council	http://www.gloucester.gov.uk		
23		Gloucestershire County Council	http://www.gloucestershire.gov.uk		
24UF		Gosport Borough Council	http://www.gosport.gov.uk		
29UG		Gravesham Borough Council	http://www.gravesham.gov.uk		
33UD		Great Yarmouth Borough Council	http://www.great-yarmouth.gov.uk		
00AL		Royal Borough of Greenwich	http://www.royalgreenwich.gov.uk		
43UD		Guildford Borough Council	http://www.guildford.gov.uk		
00AM		London Borough of Hackney	http://www.hackney.gov.uk		
00ET		Halton Borough Council	http://www.halton.gov.uk		
00AN		London Borough of Hammersmith & Fulham	http://www.lbhf.gov.uk		
24		Hampshire County Council	http://www.hants.gov.uk		
31UD		Harborough District Council	http://www.harborough.gov.uk		
00AP		London Borough of Haringey	http://www.haringey.gov.uk		
22UJ		Harlow Council	http://www.harlow.gov.uk		
36UD		Harrogate Borough Council	http://www.harrogate.gov.uk		
00AQ		London Borough of Harrow	http://www.harrow.gov.uk		
24UG		Hart District Council	http://www.hart.gov.uk		
00EB		Hartlepool Borough Council	http://www.hartlepool.gov.uk		
21UD		Hastings Borough Council	http://www.hastings.gov.uk		
24UH		Havant Borough Council	http://www.havant.gov.uk		
00AR		London Borough of Havering	http://www.havering.gov.uk		
00GA		Herefordshire Council	https://www.herefordshire.gov.uk		
26		Hertfordshire County Council	http://www.hertsdirect.org		
26UE		Hertsmere Borough Council	http://www.hertsmere.gov.uk		
17UH		High Peak Borough Council	http://www.highpeak.gov.uk		
00AS		London Borough of Hillingdon	http://www.hillingdon.gov.uk		
31UE		Hinckley and Bosworth Borough Council	http://www.hinckley-bosworth.gov.uk		
45UF		Horsham District Council	https://www.horsham.gov.uk		
00AT		London Borough of Hounslow	http://www.hounslow.gov.uk		
12UE		Huntingdonshire District Council	http://www.huntingdonshire.gov.uk		
30UG		Hyndburn Borough Council	http://www.hyndburnbc.gov.uk		
42UD		Ipswich Borough Council	https://www.ipswich.gov.uk		
00MW		Isle of Wight Council	http://www.iwight.com		
00HF		Council of the Isles of Scilly	http://www.scilly.gov.uk		
00AU		London Borough of Islington	http://www.islington.gov.uk		
00AW		Royal Borough of Kensington and Chelsea	http://www.rbkc.gov.uk		
29		Kent County Council	http://www.kent.gov.uk		
34UE		Kettering Borough Council	http://www.kettering.gov.uk		
33UE		Borough Council of Kings Lynn and West Norfolk	http://www.west-norfolk.gov.uk		
00FA		Hull City Council	http://www.hullcc.gov.uk		
00CZ		Kirklees Council	http://www.kirklees.gov.uk		
00BX		Knowsley Council	http://www.knowsley.gov.uk		
00AY		London Borough of Lambeth	http://www.lambeth.gov.uk		
30		Lancashire County Council	http://www.lancashire.gov.uk		
30UH		Lancaster City Council	http://www.lancaster.gov.uk		
00DA		Leeds City Council	http://www.leeds.gov.uk		
00FN		Leicester City Council	http://www.leicester.gov.uk		
31		Leicestershire County Council	http://www.leics.gov.uk		
21UF		Lewes District Council	http://www.lewes.gov.uk		
00AZ		London Borough of Lewisham	http://www.lewisham.gov.uk		
41UD		Lichfield District Council	https://www.lichfielddc.gov.uk		
32UD		City of Lincoln Council	http://www.lincoln.gov.uk		
32		Lincolnshire County Council	http://www.lincolnshire.gov.uk		
00BY		Liverpool City Council	http://www.liverpool.gov.uk		
00KA		Luton Borough Council	http://www.luton.gov.uk		
29UH		Maidstone Borough Council	http://www.maidstone.gov.uk		
22UK		Maldon District Council	http://www.maldon.gov.uk		
47UC		Malvern Hills District Council	http://www.malvernhills.gov.uk		
00BN		Manchester City Council	http://www.manchester.gov.uk		
37UF		Mansfield District Council	http://www.mansfield.gov.uk		
00LC		Medway Council	http://www.medway.gov.uk		
31UG		Melton Borough Council	http://www.melton.gov.uk		
40UB		Mendip District Council	http://www.mendip.gov.uk		
00BA		London Borough of Merton	http://www.merton.gov.uk		
18UD		Mid Devon District Council	http://www.middevon.gov.uk		
42UE		Mid Suffolk District Council	http://www.midsuffolk.gov.uk		
45UG		Mid Sussex District Council	http://www.midsussex.gov.uk		
00MG		Milton Keynes Council	http://www.milton-keynes.gov.uk		
43UE		Mole Valley District Council	http://www.molevalley.gov.uk		
24UJ		New Forest District Council	http://www.newforest.gov.uk		
37UG		Newark and Sherwood District Council	http://www.newark-sherwooddc.gov.uk		
00CJ		Newcastle City Council	http://www.newcastle.gov.uk		
00BB		London Borough of Newham	http://www.newham.gov.uk		
33		Norfolk County Council	http://www.norfolk.gov.uk		
18UE		North Devon Council	http://www.northdevon.gov.uk		
19UE		North Dorset District Council	http://www.dorsetforyou.com		
17UJ		North East Derbyshire District Council	http://www.ne-derbyshire.gov.uk		
00FC		North East Lincolnshire Council	http://www.nelincs.gov.uk		
26UF		North Hertfordshire District Council	http://www.north-herts.gov.uk		
32UE		North Kesteven District Council	http://www.n-kesteven.gov.uk		
00FD		North Lincolnshire Council	http://www.northlincs.gov.uk		
33UF		North Norfolk District Council	http://www.northnorfolk.org		
00HC		North Somerset  Council	http://www.n-somerset.gov.uk		
00CK		North Tyneside Council	http://my.northtyneside.gov.uk		
44UB		North Warwickshire Borough Council	http://www.northwarks.gov.uk		
31UH		North West Leicestershire District Council	http://www.nwleics.gov.uk		
36		North Yorkshire County Council	http://www.northyorks.gov.uk		
34UF		Northampton Borough Council	http://www.northampton.gov.uk		
34		Northamptonshire County Council	http://www.northamptonshire.gov.uk		
00EM		Northumberland Council	http://www.northumberland.gov.uk		
33UG		Norwich City Council	http://www.norwich.gov.uk		
00FY		Nottingham City Council	http://www.nottinghamcity.gov.uk		
37		Nottinghamshire County Council	http://www.nottinghamshire.gov.uk		
44UC		Nuneaton and Bedworth Borough Council	http://www.nuneatonandbedworth.gov.uk		
31UJ		Oadby and Wigston District Council	http://oadby-wigston.gov.uk		
00BP		Oldham Metropolitan Borough Council	http://www.oldham.gov.uk		
38UC		Oxford City Council	https://www.oxford.gov.uk		
38		Oxfordshire County Council	http://www.oxfordshire.gov.uk		
30UJ		Pendle Borough Council	http://www.pendle.gov.uk		
00JA		Peterborough City Council	http://www.peterborough.gov.uk		
00HG		Plymouth City Council	http://www.plymouth.gov.uk		
00MR		Portsmouth City Council	http://www.portsmouth.gov.uk		
30UK		Preston City Council	http://www.preston.gov.uk		
19UG		Purbeck District Council	http://www.dorsetforyou.com		
00MC		Reading Borough Council	http://beta.reading.gov.uk		
00BC		London Borough of Redbridge	http://www.redbridge.gov.uk		
00EE		Redcar and Cleveland Borough Council	http://www.redcar-cleveland.gov.uk		
47UD		Redditch Borough Council	http://www.redditchbc.gov.uk		
43UF		Reigate and Banstead Borough Council	http://www.reigate-banstead.gov.uk		
30UL		Ribble Valley Borough Council	https://www.ribblevalley.gov.uk		
00BD		London Borough of Richmond upon Thames	http://www.richmond.gov.uk		
36UE		Richmondshire District Council	http://richmondshire.gov.uk		
00BQ		Rochdale Metropolitan Borough Council	http://www.rochdale.gov.uk		
22UL		Rochford District Council	http://www.rochford.gov.uk		
30UM		Rossendale Borough Council	http://www.rossendale.gov.uk		
21UG		Rother District Council	http://www.rother.gov.uk		
00CF		Rotherham Metropolitan Borough Council	http://www.rotherham.gov.uk		
44UD		Rugby Borough Council	http://www.rugby.gov.uk		
43UG		Runnymede Borough Council	http://www.runnymede.gov.uk		
37UJ		Rushcliffe Borough Council	http://www.rushcliffe.gov.uk		
24UL		Rushmoor Borough Council	http://www.rushmoor.gov.uk		
00FP		Rutland County Council	http://www.rutland.gov.uk		
36UF		Ryedale District Council	http://www.ryedale.gov.uk		
00BR		Salford City Council	http://www.salford.gov.uk		
00CS		Sandwell Metropolitan Borough Council	http://www.sandwell.gov.uk		
36UG		Scarborough Borough Council	http://www.scarborough.gov.uk		
40UC		Sedgemoor District Council	http://www.sedgemoor.gov.uk		
00CA		Sefton Metropolitan Borough Council	http://www.sefton.gov.uk		
36UH		Selby District Council	http://www.selby.gov.uk		
29UK		Sevenoaks District Council	http://www.sevenoaks.gov.uk		
00CG		Sheffield City Council	http://www.sheffield.gov.uk		
29UL		Shepway District Council	http://www.shepway.gov.uk		
00GG		Shropshire Council	http://www.shropshire.gov.uk		
00MD		Slough Borough Council	http://www.slough.gov.uk		
00CT		Solihull Metropolitan Borough Council	http://www.solihull.gov.uk		
40		Somerset County Council	http://www.somerset.gov.uk		
11UE		South Bucks District Council	http://www.southbucks.gov.uk		
12UG		South Cambridgeshire District Council	http://www.scambs.gov.uk		
17UK		South Derbyshire District Council	http://www.south-derbys.gov.uk		
00HD		South Gloucestershire Council	http://www.southglos.gov.uk		
18UG		South Hams District Council	http://www.southhams.gov.uk		
32UF		South Holland District Council	http://www.sholland.gov.uk		
32UG		South Kesteven District Council	http://www.southkesteven.gov.uk		
16UG		South Lakeland District Council	http://www.southlakeland.gov.uk		
33UH		South Norfolk District Council	http://www.south-norfolk.gov.uk		
34UG		South Northamptonshire Council	http://www.southnorthants.gov.uk		
38UD		South Oxfordshire District Council	http://www.southoxon.gov.uk		
30UN		South Ribble Borough Council	http://www.southribble.gov.uk		
40UD		South Somerset District Council	http://www.southsomerset.gov.uk		
41UF		South Staffordshire Council	http://www.sstaffs.gov.uk		
00CL		South Tyneside Council	http://www.southtyneside.gov.uk		
00MS		Southampton City Council	http://www.southampton.gov.uk		
00KF		Southend-on-Sea Borough Council	http://www.southend.gov.uk		
00BE		London Borough of Southwark	http://www.southwark.gov.uk		
43UH		Spelthorne Borough Council	http://www.spelthorne.gov.uk		
26UG		St Albans City and District Council	http://www.stalbans.gov.uk		
00BZ		St Helens Council	http://www.sthelens.gov.uk		
41UG		Stafford Borough Council	http://www.staffordbc.gov.uk		
41		Staffordshire County Council	http://www.staffordshire.gov.uk		
41UH		Staffordshire Moorlands District Council	http://www.staffsmoorlands.gov.uk		
26UH		Stevenage Borough Council	http://www.stevenage.gov.uk		
00BS		Stockport Metropolitan Borough Council	http://www.stockport.gov.uk		
00EF		Stockton-on-Tees Borough Council	http://www.stockton.gov.uk		
00GL		Stoke-on-Trent City Council	http://www.stoke.gov.uk		
44UE		Stratford-on-Avon District Council	http://www.stratford.gov.uk		
23UF		Stroud District Council	http://www.stroud.gov.uk		
42		Suffolk County Council	http://www.suffolk.gov.uk		
42UG		Suffolk Coastal District Council	http://www.suffolkcoastal.gov.uk		
00CM		Sunderland City Council	http://www.sunderland.gov.uk		
43		Surrey County Council	http://www.surreycc.gov.uk		
43UJ		Surrey Heath Borough Council	http://www.surreyheath.gov.uk		
00BF		London Borough of Sutton	http://www.sutton.gov.uk		
29UM		Swale Borough Council	http://www.swale.gov.uk		
00HX		Swindon Borough Council	http://www.swindon.gov.uk		
00BT		Tameside Metropolitan Borough Council	http://www.tameside.gov.uk		
41UK		Tamworth Borough Council	http://www.tamworth.gov.uk		
43UK		Tandridge District Council	http://www.tandridge.gov.uk		
40UE		Taunton Deane Borough Council	http://www.tauntondeane.gov.uk		
18UH		Teignbridge District Council	http://www.teignbridge.gov.uk		
00GF		Telford & Wrekin Council	http://www.telford.gov.uk		
22UN		Tendring District Council	http://www.tendringdc.gov.uk		
24UN		Test Valley Borough Council	http://www.testvalley.gov.uk		
23UG		Tewkesbury Borough Council	http://tewkesbury.gov.uk		
29UN		Thanet District Council	http://thanet.gov.uk		
26UJ		Three Rivers District Council	http://www.threerivers.gov.uk		
00KG		Thurrock Council	http://www.thurrock.gov.uk		
29UP		Tonbridge and Malling Borough Council	http://www.tmbc.gov.uk		
00HH		Torbay Council	http://www.torbay.gov.uk		
18UK		Torridge District Council	http://www.torridge.gov.uk		
00BG		London Borough of Tower Hamlets	http://www.towerhamlets.gov.uk		
00BU		Trafford Council	http://www.trafford.gov.uk		
29UQ		Tunbridge Wells Borough Council	http://www.tunbridgewells.gov.uk		
22UQ		Uttlesford District Council	http://www.uttlesford.gov.uk		
38UE		Vale of White Horse District Council	http://www.whitehorsedc.gov.uk		
00DB		Wakefield Metropolitan District Council	http://www.wakefield.gov.uk		
00CU		Walsall Council	http://www.walsall.gov.uk		
00BH		London Borough of Waltham Forest	http://www.walthamforest.gov.uk		
00BJ		London Borough of Wandsworth	http://www.wandsworth.gov.uk		
00EU		Warrington Borough Council	http://www.warrington.gov.uk		
44UF		Warwick District Council	http://www.warwickdc.gov.uk		
44		Warwickshire County Council	http://www.warwickshire.gov.uk		
26UK		Watford Borough Council	http://www.watford.gov.uk		
42UH		Waveney District Council	http://www.waveney.gov.uk		
43UL		Waverley Borough Council	http://www.waverley.gov.uk		
21UH		Wealden District Council	http://www.wealden.gov.uk		
34UH		Wellingborough Borough Council	http://www.wellingborough.gov.uk		
26UL		Welwyn Hatfield Council	http://www.welhat.gov.uk		
00MB		West Berkshire Council	http://www.westberks.gov.uk		
18UL		West Devon Borough Council	http://www.westdevon.gov.uk		
19UH		West Dorset District Council	http://www.dorsetforyou.com		
30UP		West Lancashire Borough Council	http://www.westlancs.gov.uk		
32UH		West Lindsey District Council	http://www.west-lindsey.gov.uk		
38UF		West Oxfordshire District Council	http://www.westoxon.gov.uk		
40UF		West Somerset Council	http://www.westsomersetonline.gov.uk		
45		West Sussex County Council	http://www.westsussex.gov.uk		
00BK		City of Westminster	http://www.westminster.gov.uk		
19UJ		Weymouth and Portland Borough Council	http://www.dorsetforyou.com		
00BW		Wigan Council	http://www.wigan.gov.uk		
00HY		Wiltshire Council	http://www.wiltshire.gov.uk		
24UP		Winchester City Council	http://www.winchester.gov.uk		
00ME		Royal Borough of Windsor and Maidenhead	http://www.rbwm.gov.uk		
00CB		Wirral Council	http://www.wirral.gov.uk		
43UM		Woking Borough Council	http://www.woking.gov.uk		
00MF		Wokingham Borough Council	http://www.wokingham.gov.uk		
00CW		Wolverhampton City Council	http://www.wolverhampton.gov.uk		
47UE		Worcester City Council	http://www.worcester.gov.uk		
47		Worcestershire County Council	http://www.worcestershire.gov.uk		
45UH		Worthing Borough Council	http://www.adur-worthing.gov.uk		
47UF		Wychavon District Council	http://www.wychavon.gov.uk		
11UF		Wycombe District Council	http://www.wycombe.gov.uk		
30UQ		Wyre Council	http://www.wyre.gov.uk		
47UG		Wyre Forest District Council	http://www.wyreforestdc.gov.uk		
00FF		City of York Council	http://www.york.gov.uk		
16UC		Borough of Barrow-in-Furness	http://www.barrowbc.gov.uk		
00BM		Bury Metropolitan Borough Council	http://www.bury.gov.uk		
00CR		Dudley Metropolitan Borough Council	http://www.dudley.gov.uk		
00AJ		London Borough of Ealing	http://www.ealing.gov.uk		
43UB		Elmbridge Borough Council	http://www.elmbridge.gov.uk		
00CH		Gateshead Metropolitan Borough Council	http://www.gateshead.gov.uk		
