local-custodian	administrative-area	count
2815	NORTHAMPTONSHIRE	2572
2625	NORFOLK	2559
3650	SURREY	2558
6935	NEWPORT	2548
3030	NOTTINGHAMSHIRE	2544
2370	LANCASHIRE	2537
5480	HAVERING	2515
3125	OXFORDSHIRE	2508
355	WINDSOR AND MAIDENHEAD	2506
2373	BLACKPOOL	2505
1505	ESSEX	2501
1840	WORCESTERSHIRE	2499
2525	LINCOLNSHIRE	2498
5780	REDBRIDGE	2494
9059	DUNDEE CITY	2491
1560	ESSEX	2490
415	BUCKINGHAMSHIRE	2477
2235	KENT	2468
515	CAMBRIDGESHIRE	2461
4625	SOLIHULL	2451
915	CUMBRIA	2450
1710	HAMPSHIRE	2440
1110	DEVON	2437
2210	KENT	2433
1005	DERBYSHIRE	2433
3525	SUFFOLK	2423
2320	LANCASHIRE	2413
3535	SUFFOLK	2412
1525	ESSEX	2405
3315	SOMERSET	2371
1910	HERTFORDSHIRE	2369
2705	NORTH YORKSHIRE	2361
3430	STAFFORDSHIRE	2357
3615	SURREY	2345
2615	NORFOLK	2344
2360	LANCASHIRE	2338
3445	STAFFORDSHIRE	2330
1605	GLOUCESTERSHIRE	2323
2405	LEICESTERSHIRE	2322
2415	LEICESTERSHIRE	2320
3420	STAFFORDSHIRE	2299
4305	KNOWSLEY	2294
2430	LEICESTERSHIRE	2273
1045	DERBYSHIRE	2261
2720	NORTH YORKSHIRE	2248
1930	HERTFORDSHIRE	2242
1350	DARLINGTON	2241
9069	INVERCLYDE	2235
5120	BEXLEY	2233
510	CAMBRIDGESHIRE	2222
925	CUMBRIA	2219
2205	KENT	2213
2810	NORTHAMPTONSHIRE	2209
1715	HAMPSHIRE	2203
3435	STAFFORDSHIRE	2195
2260	KENT	2191
1250	BOURNEMOUTH	2187
2255	KENT	2176
2220	KENT	2165
1595	THURROCK	2147
6805	ISLE OF ANGLESEY	2146
6805		2145
5990	CITY OF WESTMINSTER	2136
5540	LONDON BOROUGH OF HOUNSLOW	2132
3825	WEST SUSSEX	2108
3410	STAFFORDSHIRE	2107
1720	HAMPSHIRE	2086
3715	WARWICKSHIRE	2079
1950	HERTFORDSHIRE	2057
5840	SOUTHWARK	2041
5900	TOWER HAMLETS	2040
1630	GLOUCESTERSHIRE	2039
3040	NOTTINGHAMSHIRE	2035
5660	LAMBETH	2034
230	LUTON	2030
1730	HAMPSHIRE	2020
3415	STAFFORDSHIRE	2016
1030	DERBYSHIRE	2013
1240	DORSET	2012
2365	LANCASHIRE	2009
2265	KENT	1997
5810	RICHMOND UPON THAMES	1969
2820	NORTHAMPTONSHIRE	1957
6945	TORFAEN	1956
6945		1956
9000	ORKNEY ISLANDS	1952
3515	SUFFOLK	1944
9070	MIDLOTHIAN	1942
2355	LANCASHIRE	1935
1570	ESSEX	1933
3605	SURREY	1928
3025	NOTTINGHAMSHIRE	1925
5750	NEWHAM	1924
1035	DERBYSHIRE	1916
1040	DERBYSHIRE	1897
5930	WALTHAM FOREST	1889
1590	SOUTHEND-ON-SEA	1885
5870	SUTTON	1882
3405	STAFFORDSHIRE	1875
2250	KENT	1875
1535	ESSEX	1869
3625	SURREY	1858
724	HARTLEPOOL	1851
5960	WANDSWORTH	1846
2725	NORTH YORKSHIRE	1842
5720	MERTON	1842
2435	LEICESTERSHIRE	1841
5450	HARROW	1833
335	BRACKNELL FOREST	1832
1430	EAST SUSSEX	1807
9061	EAST DUNBARTONSHIRE	1791
3005	NOTTINGHAMSHIRE	1787
505	CAMBRIDGESHIRE	1781
5690	LEWISHAM	1770
1025	DERBYSHIRE	1767
2245	KENT	1765
5210	CAMDEN	1741
1820	WORCESTERSHIRE	1721
345	READING	1716
5150	BRENT	1687
1735	HAMPSHIRE	1671
1015	DERBYSHIRE	1671
3620	SURREY	1667
5630	KINGSTON UPON THAMES	1665
3110	OXFORDSHIRE	1662
3835	WEST SUSSEX	1652
3020	NOTTINGHAMSHIRE	1637
9020	NA H-EILEANAN AN IAR	1627
3015	NOTTINGHAMSHIRE	1626
3710	WARWICKSHIRE	1604
2325	LANCASHIRE	1601
6910		1600
3820	WEST SUSSEX	1598
6925	MERTHYR TYDFIL UA	1597
6910	BLAENAU GWENT	1597
3640	SURREY	1582
1425	EAST SUSSEX	1580
1845	WORCESTERSHIRE	1536
2270	KENT	1523
3320	SOMERSET	1511
1805	WORCESTERSHIRE	1504
9057	WEST DUNBARTONSHIRE	1493
3645	SURREY	1487
2350	LANCASHIRE	1483
5570	ISLINGTON	1483
5420	LONDON BOROUGH OF HARINGEY	1480
1920	HERTFORDSHIRE	1479
9056	CLACKMANNANSHIRE	1479
410	BUCKINGHAMSHIRE	1476
1835	WORCESTERSHIRE	1475
5360	HACKNEY	1457
1225	DORSET	1427
2230	KENT	1422
1725	HAMPSHIRE	1415
1010	DERBYSHIRE	1412
910	CUMBRIA	1410
2515	LINCOLNSHIRE	1403
1545	ESSEX	1403
3655	SURREY	1394
1750	HAMPSHIRE	1392
3510	SUFFOLK	1387
9063	EAST RENFREWSHIRE	1365
3705	WARWICKSHIRE	1359
350	SLOUGH	1347
3630	SURREY	1324
1235	DORSET	1322
2215	KENT	1304
2505	LINCOLNSHIRE	1280
920	CUMBRIA	1273
3635	SURREY	1256
5060	BARKING AND DAGENHAM	1250
1520	ESSEX	1249
1550	ESSEX	1235
1905	HERTFORDSHIRE	1208
1410	EAST SUSSEX	1192
2805	NORTHAMPTONSHIRE	1123
1515	ESSEX	1116
5390	HAMMERSMITH AND FULHAM	1095
1415	EAST SUSSEX	1085
1210	DORSET	1063
5600	KENSINGTON AND CHELSEA	1054
1940	HERTFORDSHIRE	998
3805	WEST SUSSEX	981
1825	WORCESTERSHIRE	962
3610	SURREY	961
2440	LEICESTERSHIRE	919
1945	HERTFORDSHIRE	895
1935	HERTFORDSHIRE	887
5030	CITY OF LONDON	786
1540	ESSEX	616
9072	ISLE OF ARRAN	567
835	ISLES OF SCILLY	143
9072	ISLE OF CUMBRAE	58
9000	ORKNEY	42
1900	HERTFORDSHIRE	28
3600	SURREY	26
9068	HIGHLANDS	7
9067	GLASGOW	5
9076	SOUTH AYSHIRE	2
5480	LONDON BOROUGH OF HAVERING	2
1770	HAMPSHIRE	2
6935		2
4710	WEST YORKSHIRE	1
2741	NORTH YORKSHIRE	1
9072	NORTH AYRSHIRE	1
9068	HIGHANDS	1
9067	GLASGOW CITY COUCIL	1
9078	GLASGOW	1
9020	EILEAN	1
9061	EAST DUNNBARTONSHIRE	1
9061	EAST DUNBARTON	1
9061	EAST DUNBARONSHIRE	1
9061	EASE DUNBARTONSHIRE	1
9076	AYR	1
9051	ABERDEEN CUTY	1
9051	ABERDEEN C ITY	1
