iso-code	bs-6879	name	category	parent
GB-KHL	KHL	Kingston upon Hull	unitary authority	ENG
GB-LCE	LCE	Leicester	unitary authority	ENG
GB-LUT	LUT	Luton	unitary authority	ENG
GB-MDW	MDW	Medway	unitary authority	ENG
GB-MDB	MDB	Middlesbrough	unitary authority	ENG
GB-MIK	MIK	Milton Keynes	unitary authority	ENG
GB-NEL	NEL	North East Lincolnshire	unitary authority	ENG
GB-NLN	NLN	North Lincolnshire	unitary authority	ENG
GB-NSM	NSM	North Somerset	unitary authority	ENG
GB-NBL	NBL	Northumberland	unitary authority	ENG
GB-NGM	NGM	Nottingham	unitary authority	ENG
GB-PTE	PTE	Peterborough	unitary authority	ENG
GB-PLY	PLY	Plymouth	unitary authority	ENG
GB-POL	POL	Poole	unitary authority	ENG
GB-POR	POR	Portsmouth	unitary authority	ENG
GB-RDG	RDG	Reading	unitary authority	ENG
GB-RCC	RCC	Redcar and Cleveland	unitary authority	ENG
GB-RUT	RUT	Rutland	unitary authority	ENG
GB-SHR	SHR	Shropshire	unitary authority	ENG
GB-SLG	SLG	Slough	unitary authority	ENG
GB-SGC	SGC	South Gloucestershire	unitary authority	ENG
GB-STH	STH	Southampton	unitary authority	ENG
GB-SOS	SOS	Southend-on-Sea	unitary authority	ENG
GB-STT	STT	Stockton-on-Tees	unitary authority	ENG
GB-STE	STE	Stoke-on-Trent	unitary authority	ENG
GB-SWD	SWD	Swindon	unitary authority	ENG
GB-TFW	TFW	Telford and Wrekin	unitary authority	ENG
GB-THR	THR	Thurrock	unitary authority	ENG
GB-TOB	TOB	Torbay	unitary authority	ENG
GB-WRT	WRT	Warrington	unitary authority	ENG
GB-WBK	WBK	West Berkshire	unitary authority	ENG
GB-WIL	WIL	Wiltshire	unitary authority	ENG
GB-WNM	WNM	Windsor and Maidenhead	unitary authority	ENG
GB-WOK	WOK	Wokingham	unitary authority	ENG
GB-YOR	YOR	York	unitary authority	ENG
GB-ANN	ANN	Antrim and Newtownabbey	district	NIR
GB-AND	AND	Ards and North Down	district	NIR
GB-ABC	ABC	Armagh, Banbridge and Craigavon	district	NIR
GB-BFS	BFS	Belfast	district	NIR
GB-CCG	CCG	Causeway Coast and Glens	district	NIR
GB-DRS	DRS	Derry and Strabane	district	NIR
GB-FMO	FMO	Fermanagh and Omagh	district	NIR
GB-LBC	LBC	Lisburn and Castlereagh	district	NIR
GB-MEA	MEA	Mid and East Antrim	district	NIR
GB-MUL	MUL	Mid Ulster	district	NIR
GB-NMD	NMD	Newry, Mourne and Down	district	NIR
GB-ABE	ABE	Aberdeen City	council area	SCT
GB-ABD	ABD	Aberdeenshire	council area	SCT
GB-ANS	ANS	Angus	council area	SCT
GB-AGB	AGB	Argyll and Bute	council area	SCT
GB-CLK	CLK	Clackmannanshire	council area	SCT
GB-DGY	DGY	Dumfries and Galloway	council area	SCT
GB-DND	DND	Dundee City	council area	SCT
GB-EAY	EAY	East Ayrshire	council area	SCT
GB-EDU	EDU	East Dunbartonshire	council area	SCT
GB-ELN	ELN	East Lothian	council area	SCT
GB-ERW	ERW	East Renfrewshire	council area	SCT
GB-EDH	EDH	Edinburgh, City of	council area	SCT
